Sample Type,Z in mm,Contrast
20um_0.50r,33.641,0.22501604528171548
20um_0.50r,30.591,0.1562024599218136
20um_0.50r,31.291,0.15900757212584044
20um_0.50r,33.291,0.2074711701346828
20um_0.50r,33.941,0.25382228721425426
20um_0.50r,32.391,0.1760793807293051
20um_0.50r,32.241,0.17688519465089025
20um_0.50r,32.991,0.18864266286398054
20um_0.50r,31.341,0.15021345144838552
20um_0.50r,31.441,0.16149157773052558
20um_0.50r,32.541,0.1792096654565701
20um_0.50r,31.591,0.16987622336392133
20um_0.50r,33.841,0.23090685888358958
20um_0.50r,33.391,0.18921139809663276
20um_0.50r,30.291,0.1600174448247561
20um_0.50r,33.741,0.21479412742978507
20um_0.50r,33.241,0.20259546593388708
20um_0.50r,33.491,0.21157458149239566
20um_0.50r,30.341,0.15519966070830749
20um_0.50r,32.791,0.16904411736757083
20um_0.50r,32.441,0.17469068558863393
20um_0.50r,33.541,0.2144325227658696
20um_0.50r,31.541,0.16463500859357172
20um_0.50r,31.491,0.16053874690734932
20um_0.50r,33.691,0.2281564734291744
20um_0.50r,32.591,0.18764954417347157
20um_0.50r,30.391,0.1523437712469692
20um_0.50r,33.991,0.2527898541872626
20um_0.50r,33.191,0.20334484105927947
20um_0.50r,30.241,0.1585309640808807
20um_0.50r,32.941,0.19096094496973026
20um_0.50r,32.841,0.18780383513938645
20um_0.50r,33.091,0.1892603799529344
20um_0.50r,30.541,0.16008831286332983
20um_0.50r,30.491,0.16090098107546424
20um_0.50r,33.341,0.1908425425514097
20um_0.50r,33.891,0.23839973577974785
20um_0.50r,33.791,0.22756546078347156
20um_0.50r,32.491,0.1794059430843532
20um_0.50r,32.291,0.16783949544900317
20um_0.50r,31.391,0.16463299158239075
20um_0.50r,31.241,0.1597780387431107
20um_0.50r,32.341,0.17609896584527257
20um_0.50r,33.441,0.2143547326476737
20um_0.50r,31.691,0.16656799554512697
20um_0.50r,34.341,0.30828574836435174
20um_0.50r,32.641,0.17887654770146758
20um_0.50r,34.091,0.2571437098653933
20um_0.50r,31.741,0.16049309395730443
20um_0.50r,30.041,0.16108798452397638
20um_0.50r,31.841,0.17172053560625378
20um_0.50r,33.141,0.20377986087753716
20um_0.50r,34.441,0.30470829981309183
20um_0.50r,31.991,0.16873864763524185
20um_0.50r,32.891,0.18635686988586994
20um_0.50r,30.191,0.1498957262943295
20um_0.50r,30.691,0.1632903940126996
20um_0.50r,34.691,0.3609417495704553
20um_0.50r,29.991,0.16197901322166275
20um_0.50r,29.841,0.1578632504499332
20um_0.50r,34.541,0.3247024833283611
20um_0.50r,30.741,0.15013642768911695
20um_0.50r,34.191,0.26359439163539516
20um_0.50r,31.041,0.1579189802161167
20um_0.50r,29.741,0.15913774926842864
20um_0.50r,30.841,0.16234586576076343
20um_0.50r,32.141,0.16234990141035022
20um_0.50r,32.091,0.1693458940992605
20um_0.50r,30.991,0.1490860571420464
20um_0.50r,31.191,0.15758303724509512
20um_0.50r,34.241,0.2584256403818331
20um_0.50r,29.891,0.1505182730004365
20um_0.50r,30.791,0.15596702486083128
20um_0.50r,34.391,0.3121282065617143
20um_0.50r,34.041,0.25604090025520176
20um_0.50r,30.641,0.16317482401471348
20um_0.50r,29.941,0.16033009375888502
20um_0.50r,30.941,0.16114069659078778
20um_0.50r,32.041,0.17234561656223704
20um_0.50r,34.491,0.34762279099719096
20um_0.50r,31.141,0.15714060435220187
20um_0.50r,29.791,0.159524619966694
20um_0.50r,31.091,0.16329462667930505
20um_0.50r,32.191,0.17214634072011867
20um_0.50r,30.891,0.16596242390825028
20um_0.50r,34.641,0.3310808535438154
20um_0.50r,32.691,0.18829289356158407
20um_0.50r,31.791,0.15527412137336222
20um_0.50r,31.641,0.1544868461829209
20um_0.50r,32.741,0.172730248370353
20um_0.50r,34.591,0.3691950027549404
20um_0.50r,31.941,0.1733965818382952
20um_0.50r,33.041,0.1897374824659788
20um_0.50r,34.141,0.2731009313134016
20um_0.50r,30.141,0.15208932030095443
20um_0.50r,30.091,0.15650240968497456
20um_0.50r,34.291,0.3022429143291627
20um_0.50r,34.741,2.591347694565859
20um_0.50r,31.891,0.16789149011182805
14um_0.25r,33.885,0.24046468503405186
14um_0.25r,31.235,0.16554700108002965
14um_0.25r,34.235,0.2645840589855703
14um_0.25r,30.335,0.16245097568661457
14um_0.25r,33.085,0.19876392733254952
14um_0.25r,34.535,0.3395783228349517
14um_0.25r,31.485,0.16670399354130513
14um_0.25r,34.885,2.029354636219803
14um_0.25r,33.785,0.23634726760609548
14um_0.25r,30.535,0.16368077992000168
14um_0.25r,32.485,0.18220565970088337
14um_0.25r,30.235,0.15736327941491488
14um_0.25r,32.585,0.1828984595490823
14um_0.25r,31.385,0.15463515653783394
14um_0.25r,33.685,0.2190961730062633
14um_0.25r,34.435,0.2899545410749459
14um_0.25r,31.935,0.15842636297321258
14um_0.25r,33.185,0.20414059709528284
14um_0.25r,32.285,0.1663009707245318
14um_0.25r,32.435,0.17786921492367194
14um_0.25r,30.485,0.1593631092985938
14um_0.25r,33.985,0.24515682691676435
14um_0.25r,31.535,0.16193930219202018
14um_0.25r,31.135,0.16476682669864637
14um_0.25r,34.335,0.2947849064033351
14um_0.25r,29.985,0.16469921693751324
14um_0.25r,31.285,0.15451794011146763
14um_0.25r,33.385,0.19862814592922234
14um_0.25r,32.385,0.17658703825141092
14um_0.25r,30.835,0.16269119311671296
14um_0.25r,34.135,0.2569903695625148
14um_0.25r,31.335,0.16555898972767918
14um_0.25r,32.885,0.19030054375493297
14um_0.25r,33.485,0.2028862050225243
14um_0.25r,32.785,0.17946590901090714
14um_0.25r,31.435,0.16275990668576648
14um_0.25r,34.635,0.3448919756972622
14um_0.25r,30.735,0.1537715493447222
14um_0.25r,30.585,0.16032334583422658
14um_0.25r,30.285,0.1633182766698906
14um_0.25r,32.235,0.17298336474801226
14um_0.25r,32.685,0.17848373221083125
14um_0.25r,33.585,0.21522713382732492
14um_0.25r,34.035,0.24075248973399477
14um_0.25r,32.985,0.1902217342453075
14um_0.25r,33.285,0.2040132288941361
14um_0.25r,30.435,0.16127783421719746
14um_0.25r,30.935,0.1536552807123121
14um_0.25r,34.835,0.2983609266292866
14um_0.25r,34.735,0.37618700872417554
14um_0.25r,34.585,0.35494053455811814
14um_0.25r,31.085,0.16038637402242475
14um_0.25r,33.735,0.22911383968053858
14um_0.25r,30.885,0.16516540807198507
14um_0.25r,32.185,0.16737099257406005
14um_0.25r,30.135,0.1581469831013557
14um_0.25r,29.885,0.15816341624510463
14um_0.25r,31.635,0.1672269738873613
14um_0.25r,34.285,0.2792381485549191
14um_0.25r,30.385,0.15117964961552932
14um_0.25r,33.835,0.2397644390472404
14um_0.25r,32.335,0.1687328301432433
14um_0.25r,33.035,0.1919148128529865
14um_0.25r,31.885,0.15377023478071045
14um_0.25r,33.135,0.1917746584605975
14um_0.25r,31.985,0.16037310327000168
14um_0.25r,31.185,0.16012369985486966
14um_0.25r,30.085,0.1642488236357421
14um_0.25r,32.035,0.17005502355154944
14um_0.25r,34.385,0.3010157344476194
14um_0.25r,33.935,0.24934938989051608
14um_0.25r,30.635,0.15878809343754627
14um_0.25r,32.535,0.1830039329614227
14um_0.25r,33.635,0.20690725322428255
14um_0.25r,31.785,0.16288810477432333
14um_0.25r,29.935,0.15684146092101275
14um_0.25r,34.485,0.3162180715167552
14um_0.25r,31.685,0.1591354345089126
14um_0.25r,33.435,0.20944762294670383
14um_0.25r,32.735,0.17921191287518762
14um_0.25r,31.035,0.16822546610572622
14um_0.25r,30.185,0.15458833117005344
14um_0.25r,32.135,0.1743044324743703
14um_0.25r,34.685,0.38819220863872156
14um_0.25r,30.785,0.16263956344264918
14um_0.25r,33.335,0.20189286786495916
14um_0.25r,32.835,0.18874596304118937
14um_0.25r,34.185,0.25549145613794644
14um_0.25r,32.935,0.17763160670131062
14um_0.25r,34.085,0.262900683363723
14um_0.25r,30.985,0.16352585480722778
14um_0.25r,32.085,0.17130649957700603
14um_0.25r,30.035,0.15875614021629159
14um_0.25r,33.235,0.19875599667455277
14um_0.25r,31.835,0.17021646887965328
14um_0.25r,30.685,0.1609363622576175
14um_0.25r,31.735,0.16250305422783948
14um_0.25r,34.785,0.37368944749362437
14um_0.25r,31.585,0.1603985495702652
14um_0.25r,32.635,0.1771933869784159
14um_0.25r,33.535,0.207627186261298
14um_0.50r,32.249,0.1828936683793134
14um_0.50r,32.999,0.20294710411444006
14um_0.50r,33.149,0.2086647462098831
14um_0.50r,33.299,0.2066290482370842
14um_0.50r,34.699,2.25954576881951
14um_0.50r,33.949,0.2720965029380575
14um_0.50r,29.899,0.1641196840255108
14um_0.50r,32.199,0.18268104041033087
14um_0.50r,33.649,0.22372857241075328
14um_0.50r,29.799,0.1640894757424619
14um_0.50r,32.549,0.18016313153487362
14um_0.50r,34.299,0.3232485912424341
14um_0.50r,32.699,0.18195897789053314
14um_0.50r,33.599,0.23780293991421234
14um_0.50r,34.599,0.4050542569070269
14um_0.50r,33.849,0.2508275799419909
14um_0.50r,33.499,0.22852432351566596
14um_0.50r,32.799,0.19640297525948794
14um_0.50r,32.449,0.1890019862881197
14um_0.50r,29.699,0.165252229807459
14um_0.50r,33.749,0.24091574676060978
14um_0.50r,34.199,0.30259461707579727
14um_0.50r,32.099,0.17982056999304247
14um_0.50r,29.999,0.1558099944588558
14um_0.50r,33.399,0.224078868503353
14um_0.50r,33.049,0.2044921443202527
14um_0.50r,32.899,0.20048423511439514
14um_0.50r,32.349,0.18549327667471815
14um_0.50r,33.199,0.21413740986219798
14um_0.50r,32.949,0.2023072452017822
14um_0.50r,32.299,0.185707311252058
14um_0.50r,29.849,0.15981699587291248
14um_0.50r,32.149,0.18295112828027119
14um_0.50r,33.999,0.2650679864076443
14um_0.50r,33.249,0.2134560772342055
14um_0.50r,32.599,0.19177671280465408
14um_0.50r,29.749,0.16141831138081408
14um_0.50r,33.699,0.24276426329669823
14um_0.50r,34.149,0.29486610526588103
14um_0.50r,34.549,0.39982406190400915
14um_0.50r,33.549,0.23807008920787623
14um_0.50r,32.649,0.18701335212359946
14um_0.50r,34.249,0.31207246290705687
14um_0.50r,32.749,0.1895682064831401
14um_0.50r,33.449,0.22873083177885212
14um_0.50r,33.799,0.2497722503916967
14um_0.50r,34.649,0.3310698619028816
14um_0.50r,32.499,0.16688425154844028
14um_0.50r,33.349,0.2222121865951709
14um_0.50r,33.899,0.2568123539165272
14um_0.50r,32.049,0.1727897263003184
14um_0.50r,29.949,0.16438889504584464
14um_0.50r,32.399,0.1782033833018864
